datetime,price,signal,proposal,proposal_reason,decision,decision_reason,qty,executed,equity,pnl,drawdown
2025-04-07 14:30:00+00:00,1.435,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 14:45:00+00:00,1.45,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 15:00:00+00:00,1.459,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 15:15:00+00:00,1.41,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 15:30:00+00:00,1.4148,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-04-07 15:45:00+00:00,1.4595,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-07 16:00:00+00:00,1.46,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-04-07 16:15:00+00:00,1.4349,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 16:30:00+00:00,1.45,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 16:45:00+00:00,1.48,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-07 17:00:00+00:00,1.4501,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-04-07 17:15:00+00:00,1.5184,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 17:30:00+00:00,1.57,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 17:45:00+00:00,1.59,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 18:00:00+00:00,1.575,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 18:15:00+00:00,1.57,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 18:30:00+00:00,1.59,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 18:45:00+00:00,1.58,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 19:00:00+00:00,1.58,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
